SiteCode,Name_EN,Name_FR,Latitude,Longitude,AltMin,AltMax,Area,DateAssessed,PercentProtected,BoundaryGeneralized,Level,CriteriaMet,ConservationActions,Landcover,Province,Species
ON034,"Holiday Beach and Big Creek Conservation Areas","Holiday Beach and Big Creek Conservation Areas",42.04,-83.06,170,180,10.84,"2024-04-19 00:00:00",0,0,National,"Global: D1 - Demographic aggregations (birds). National: A1 - Threatened species (birds); D1 - Demographic aggregations (birds)","Site/area management, Site/area protection","Wetland(13.45%), Temperate or sub-polar shrubland(3.71%), Water(45.6%), Cropland(16.05%), Urban(6.65%), Sub-polar taiga needleleaf forest(0.71%), Mixed forest(2.22%), Temperate or sub-polar broadleaf deciduous forest(11.35%), Sub-polar or polar grassland-lichen-moss(0.15%), Temperate or sub-polar needleleaf forest(0.09%), ",Ontario,"Chimney Swift(Chaetura pelagica), Canvasback(Aythya valisineria), "
ON038,"Leslie Street Spit","Leslie Street Spit",43.63,-79.33,74,90,10.84,"2022-08-18 00:00:00",33,0,Global,"Global: D1 - Demographic aggregations (birds). National: A1 - Threatened species (birds); D1 - Demographic aggregations (birds)","Awareness & communications, Site/area management, Site/area protection","Temperate or sub-polar broadleaf deciduous forest(0.6%), Temperate or sub-polar shrubland(2.03%), Water(71%), Wetland(0.46%), Barren lands(2.9%), Urban(17.75%), Mixed forest(4.18%), Temperate or sub-polar needleleaf forest(0.84%), Cropland(0.25%), ",Ontario,"Double-crested Cormorant(Nannopterum auritum), Ring-billed Gull(Larus delawarensis), Chimney Swift(Chaetura pelagica), Red-breasted Merganser(Mergus serrator), "
ON146,"Three Sisters Islands","Three Sisters Islands",49.04,-94.68,323,323,6.59,"2024-04-17 00:00:00",1,0,National,"Global: D1 - Demographic aggregations (birds). National: D1 - Demographic aggregations (birds)","Resource & habitat protection, Site/area protection","Water(99.39%), Wetland(0.19%), Temperate or sub-polar grassland(0.3%), ",Ontario,"American White Pelican(Pelecanus erythrorhynchos), "
ON157,"Pei lay sheesh kow","Pei lay sheesh kow",51.35,-80.19,0,18,1979.28,"2022-08-18 00:00:00",7,0,Global,"Global: A1 - Threatened species (birds); D1 - Demographic aggregations (birds). National: A1 - Threatened species (birds); D1 - Demographic aggregations (birds)","Awareness & communications, Site/area protection, Legislation, Site/area management","Wetland(4.82%), Sub-polar or polar grassland-lichen-moss(0%), Temperate or sub-polar needleleaf forest(1.9%), Water(84.3%), Sub-polar taiga needleleaf forest(0.01%), Mixed forest(0.01%), Urban(0.1%), Temperate or sub-polar broadleaf deciduous forest(0.07%), Temperate or sub-polar grassland(0.07%), Temperate or sub-polar shrubland(8.71%), ",Ontario,"Bonaparte's Gull(Chroicocephalus philadelphia), Little Gull(Hydrocoloeus minutus), Northern Pintail(Anas acuta), Lesser Yellowlegs(Tringa flavipes), Tundra Swan(Cygnus columbianus), Ruddy Turnstone(Arenaria interpres), White-rumped Sandpiper(Calidris fuscicollis), Black Scoter(Melanitta americana), Greater Yellowlegs(Tringa melanoleuca), Hudsonian Godwit(Limosa haemastica), Semipalmated Sandpiper(Calidris pusilla), Red Knot(Calidris canutus), Brant(Branta bernicla), Dunlin(Calidris alpina), Long-tailed Duck(Clangula hyemalis), Black-bellied Plover(Pluvialis squatarola), "
ON158,"Frontenac Forests","Frontenac Forests",44.55,-76.44,108,201,428.44,"2024-01-22 00:00:00",25,0,National,"Global: A1 - Threatened species (fungi and lichens). National: A1 - Threatened species (amphibians and reptiles, birds); B1 - Individual geographically restricted species (amphibians and reptiles, birds)","Awareness & communications, Species management, Site/area management, Invasive/problematic species control, Non-monetary values, Site/area protection","Wetland(0.51%), Barren lands(0.36%), Urban(2.98%), Mixed forest(32.3%), Temperate or sub-polar grassland(3.9%), Cropland(1.69%), Temperate or sub-polar needleleaf forest(5.77%), Temperate or sub-polar broadleaf deciduous forest(28.09%), Water(22.86%), Temperate or sub-polar shrubland(1.54%), ",Ontario,"Blanding's Turtle(Emydoidea blandingii pop. 2), Gray Ratsnake(Pantherophis spiloides pop. 1), Northern Map Turtle(Graptemys geographica), Pale-bellied Frost Lichen(Physconia subpallida), Cerulean Warbler(Setophaga cerulea), "
ON169,"Bickford Oak Woods","Bickford Oak Woods",42.78,-82.40,185,191,3.91,"2022-09-21 00:00:00",80,0,National,"Global: . National: A1 - Threatened species (vascular plants)","Resource & habitat protection, Site/area protection","Cropland(8.02%), Temperate or sub-polar needleleaf forest(0.41%), Water(44.34%), Mixed forest(43.49%), Temperate or sub-polar broadleaf deciduous forest(3.67%), ",Ontario,"Swamp Cottonwood(Populus heterophylla), "
ON170,"Canadian Lake Superior","Canadian Lake Superior",48.27,-86.97,136,563,29686.08,"2024-01-04 00:00:00",39,0,National,"Global: B1 - Individual geographically restricted species (fishes). National: A1 - Threatened species (fishes); B1 - Individual geographically restricted species (fishes)","Invasive/problematic species control, Site/area protection, Policies and regulations, Species management","Wetland(0.01%), Temperate or sub-polar broadleaf deciduous forest(0.48%), Cropland(0%), Urban(0%), Mixed forest(0.99%), Water(97.35%), Temperate or sub-polar shrubland(0.26%), Temperate or sub-polar needleleaf forest(0.89%), Temperate or sub-polar grassland(0.02%), Barren lands(0%), Unclassified(0%), ",Ontario,"Pygmy Whitefish(Prosopium coulterii pop. 5), Kiyi(Coregonus kiyi), "
ON171,"Dufresne Island","Dufresne Island",49.79,-94.52,316,326,0.04,"2022-09-21 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)","Site/area management","Water(19.5%), Mixed forest(37.53%), Temperate or sub-polar needleleaf forest(28.01%), Wetland(13.18%), ",Ontario,"Slick-seed Wild Bean(Strophostyles leiosperma), Pale Showy Goldenrod(Solidago pallida), "
ON172,"Puzzle Lake","Puzzle Lake",44.59,-76.96,164,232,47.89,"2022-09-21 00:00:00",78,0,National,"Global: . National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)","Site/area protection","Temperate or sub-polar broadleaf deciduous forest(10.5%), Water(17.38%), Mixed forest(53.9%), Temperate or sub-polar shrubland(0.78%), Wetland(1.36%), Barren lands(0.19%), Temperate or sub-polar needleleaf forest(7.51%), Temperate or sub-polar grassland(8.08%), Urban(0.29%), ",Ontario,"Toothcup - Great Lakes Plains population(Rotala ramosior pop. 1), "
ON173,"Rankin River","Rankin River",44.68,-81.24,182,191,0.25,"2023-02-15 00:00:00",0,0,Global,"Global: A1 - Threatened species (invertebrates); B1 - Individual geographically restricted species (invertebrates). National: ",,"Mixed forest(27.43%), Temperate or sub-polar needleleaf forest(42.9%), Water(17.62%), Cropland(3.24%), Temperate or sub-polar broadleaf deciduous forest(7.38%), ",Ontario,"Hungerford's Crawling Water Beetle(Brychius hungerfordi), "
ON174,"Gull River","Gull River",45.11,-78.60,308,313,0.18,"2022-09-21 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)",Legislation,"Cropland(7.17%), Water(53.32%), Temperate or sub-polar needleleaf forest(10.17%), Urban(15.15%), Mixed forest(12.14%), ",Ontario,"Engelmann's Quillwort(Isoetes engelmannii), "
ON175,"Great Duck Island","Great Duck Island",45.66,-82.95,175,229,14.86,"2023-01-25 00:00:00",0,0,National,"Global: . National: Threatened invertebrates & vascular plants (A1); Geographically restricted vascular plants (individual species) (B1)",,"Temperate or sub-polar needleleaf forest(26.84%), Mixed forest(28.11%), Barren lands(0.07%), Water(5.88%), Temperate or sub-polar broadleaf deciduous forest(38.61%), Temperate or sub-polar grassland(0.49%), ",Ontario,"Pitcher's Thistle(Cirsium pitcheri), Lake Huron Grasshopper(Trimerotropis huroniana), Gillman's Goldenrod(Solidago gillmanii), "
ON176,"Nith River","Nith River",43.24,-80.51,244,308,17.54,"2023-08-18 00:00:00",0,0,National,"Global: . National: Threatened invertebrates (A1)",,"Wetland(0.76%), Temperate or sub-polar broadleaf deciduous forest(5.72%), Barren lands(0.25%), Temperate or sub-polar shrubland(0.19%), Water(7.48%), Temperate or sub-polar needleleaf forest(3.64%), Mixed forest(27.38%), Urban(5.57%), Cropland(49.01%), ",Ontario,"Rapids Clubtail(Phanogomphus quadricolor), "
ON177,"Wainfleet Bog","Wainfleet Bog",42.92,-79.31,174,181,16.52,"2023-08-21 00:00:00",63,0,National,"Global: . National: Threatened amphibians and reptiles (A1); Geographically restricted amphibians and reptiles (individual species) (B1)","Habitat & natural process restoration, Site/area protection, Species management, Site/area management, Resource & habitat protection","Temperate or sub-polar shrubland(7.13%), Temperate or sub-polar needleleaf forest(2.83%), Barren lands(0.04%), Wetland(0.89%), Water(0.64%), Temperate or sub-polar broadleaf deciduous forest(2.03%), Cropland(4.74%), Urban(1.67%), Mixed forest(80.03%), ",Ontario,"Massasauga(Sistrurus catenatus pop. 2), "
ON178,"Severn River","Severn River",44.90,-79.66,190,208,2.38,"2023-08-21 00:00:00",9,0,National,"Global: . National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)",Legislation,"Temperate or sub-polar broadleaf deciduous forest(0.7%), Temperate or sub-polar grassland(0.54%), Urban(0.86%), Mixed forest(12.82%), Water(74.81%), Temperate or sub-polar needleleaf forest(10.08%), ",Ontario,"Engelmann's Quillwort(Isoetes engelmannii), "
ON179,"Minesing Wetlands","Minesing Wetlands",44.39,-79.87,177,225,61.63,"2023-08-21 00:00:00",69,0,National,"Global: . National: Threatened invertebrates & sensitive species (A1); Geographically restricted invertebrates (individual species) (B1)","Site/area protection, Resource & habitat protection, Awareness & communications, Site/area management, Invasive/problematic species control","Barren lands(0.02%), Urban(0.42%), Water(2%), Temperate or sub-polar grassland(2.85%), Temperate or sub-polar broadleaf deciduous forest(2.57%), Cropland(8.34%), Temperate or sub-polar shrubland(5.18%), Wetland(24.43%), Mixed forest(40.27%), Temperate or sub-polar needleleaf forest(13.93%), ",Ontario,"Hine's Emerald(Somatochlora hineana), "
ON180,"Deshkan Ziibi - Thames River","Deshkan Ziibi - Thames River",42.68,-81.63,178,264,18,"2024-05-22 00:00:00",5,0,National,"Global: . National: A1 - Threatened species (amphibians and reptiles, fishes, invertebrates); B1 - Individual geographically restricted species (amphibians and reptiles, fishes, invertebrates)","Site/area protection, Habitat & natural process restoration, Species management","Barren lands(0.2%), Wetland(0.67%), Temperate or sub-polar broadleaf deciduous forest(6.5%), Mixed forest(11%), Cropland(31.34%), Urban(3.95%), Water(43.74%), Temperate or sub-polar needleleaf forest(2.59%), ",Ontario,"Threehorn Wartyback(Obliquaria reflexa), Fawnsfoot(Truncilla donaciformis), Purple Wartyback(Cyclonaias tuberculata), Spiny Softshell Turtle(Apalone spinifera), Queensnake(Regina septemvittata), Mapleleaf Mussel(Quadrula quadrula pop. 2), Eastern Sand Darter(Ammocrypta pellucida pop. 4), Northern Madtom(Noturus stigmosus), "
ON181,"Humber River","Humber River",43.86,-79.67,170,254,12.36,"2023-10-05 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (invertebrates)","Site/area protection, Site/area management, Resource & habitat protection","Mixed forest(43.83%), Urban(6.37%), Barren lands(1.41%), Temperate or sub-polar grassland(0.15%), Temperate or sub-polar shrubland(0.18%), Temperate or sub-polar broadleaf deciduous forest(7.7%), Temperate or sub-polar needleleaf forest(8.13%), Cropland(28.84%), Water(2.45%), Wetland(0.93%), ",Ontario,"Rapids Clubtail(Phanogomphus quadricolor), "
ON182,"Marlborough Forest","Marlborough Forest",45.10,-75.85,95,130,67.2,"2023-10-30 00:00:00",0,0,National,"Global: . National: Threatened amphibians and reptiles, invertebrates & sensitive species (A1); Geographically restricted invertebrates (individual species) (B1)","Compliance and enforcement, Site/area management, Site/area protection","Temperate or sub-polar broadleaf deciduous forest(16.49%), Barren lands(0.08%), Wetland(3.26%), Urban(0.71%), Temperate or sub-polar needleleaf forest(34.74%), Water(0.37%), Cropland(0.27%), Temperate or sub-polar shrubland(3.61%), Temperate or sub-polar grassland(1.8%), Mixed forest(38.68%), ",Ontario,"Bogbean Buckmoth(Hemileuca maia menyanthevora), Blanding's Turtle(Emydoidea blandingii pop. 2), "
ON183,"Mississippi River","Mississippi River",45.29,-76.27,78,136,8.63,"2023-10-30 00:00:00",0,0,National,"Global: . National: Threatened invertebrates (A1)",,"Temperate or sub-polar broadleaf deciduous forest(3.52%), Temperate or sub-polar grassland(4.09%), Urban(12.56%), Mixed forest(23.41%), Temperate or sub-polar shrubland(0.09%), Water(17.74%), Cropland(29.4%), Barren lands(1.48%), Wetland(0.16%), Temperate or sub-polar needleleaf forest(7.51%), ",Ontario,"Rapids Clubtail(Phanogomphus quadricolor), "
ON184,"Murphys Point","Murphys Point",44.77,-76.24,122,155,13.25,"2023-11-22 00:00:00",84,0,National,"Global: . National: Threatened amphibians and reptiles (A1)","Site/area protection, Formal education, Site/area management, Awareness & communications, Legislation","Water(30.53%), Temperate or sub-polar shrubland(0.34%), Mixed forest(30.72%), Wetland(0.27%), Temperate or sub-polar grassland(0.95%), Temperate or sub-polar needleleaf forest(5.14%), Urban(3.64%), Temperate or sub-polar broadleaf deciduous forest(28.41%), ",Ontario,"Gray Ratsnake(Pantherophis spiloides pop. 1), "
ON185,"Ojibway Prairie Complex and Greater Park Ecosystem","Ojibway Prairie Complex and Greater Park Ecosystem",42.25,-83.07,174,185,25.89,"2024-01-22 00:00:00",2,0,National,"Global: B1 - Individual geographically restricted species (invertebrates). National: A1 - Threatened species (amphibians and reptiles, invertebrates, vascular plants); B1 - Individual geographically restricted species (amphibians and reptiles, invertebrates, vascular plants)","Habitat & natural process restoration, Legislation, Invasive/problematic species control, Site/area management, Awareness & communications, Site/area protection, Species recovery, Formal education","Temperate or sub-polar shrubland(0.1%), Barren lands(0.42%), Urban(39.58%), Cropland(14.8%), Temperate or sub-polar grassland(0.11%), Temperate or sub-polar broadleaf deciduous forest(18.74%), Temperate or sub-polar needleleaf forest(0.65%), Water(8.94%), Mixed forest(12.18%), Wetland(4.48%), ",Ontario,"a rust fly(Loxocera ojibwayensis), Dense Blazing-star(Liatris spicata), White Colicroot(Aletris farinosa), Striped Lynx Spider(Oxyopes salticus), Willowleaf Aster(Symphyotrichum praealtum), Climbing Prairie Rose(Rosa setigera), Slender Bush-clover(Lespedeza virginica), Eastern Foxsnake(Pantherophis vulpinus pop. 2), Pink Milkwort(Polygala incarnata), Tall Green Milkweed(Asclepias hirtella), Reversed Haploa Moth(Haploa reversa), Arrowfeather Threeawn Grass(Aristida purpurascens), Massasauga(Sistrurus catenatus pop. 2), Butler's Gartersnake(Thamnophis butleri), Purple Twayblade(Liparis liliifolia), Short-fruited Rush(Juncus brachycarpus), Smooth Yellow False Foxglove(Aureolaria flava), "
ON186,"White Lake Wetlands","White Lake Wetlands",45.29,-76.48,160,186,22.28,"2023-11-22 00:00:00",11,0,National,"Global: . National: Threatened invertebrates (A1); Geographically restricted invertebrates (individual species) (B1)","Site/area management, Site/area protection","Temperate or sub-polar shrubland(2.36%), Temperate or sub-polar needleleaf forest(17.4%), Water(12.95%), Mixed forest(25.18%), Wetland(14.74%), Cropland(1.03%), Temperate or sub-polar grassland(1.89%), Urban(2.19%), Temperate or sub-polar broadleaf deciduous forest(22.26%), ",Ontario,"Bogbean Buckmoth(Hemileuca maia menyanthevora), "
ON187,"Main Duck and Yorkshire Islands","Main Duck and Yorkshire Islands",43.93,-76.62,74,81,2.89,"2023-11-22 00:00:00",78,0,National,"Global: A1 - Threatened species (fungi and lichens). National: A1 - Threatened species (vascular plants)","Site/area management, Site/area protection, Species management","Temperate or sub-polar broadleaf deciduous forest(27.09%), Wetland(0.72%), Temperate or sub-polar grassland(6.65%), Cropland(0.69%), Temperate or sub-polar shrubland(7.3%), Water(32.09%), Barren lands(0.89%), Mixed forest(22.89%), Temperate or sub-polar needleleaf forest(1.67%), ",Ontario,"Goosefoot Cornsalad(Valerianella chenopodiifolia), Pale-bellied Frost Lichen(Physconia subpallida), "
ON188,"Ausable River","Ausable River",43.08,-81.75,179,245,23.34,"2023-11-22 00:00:00",7,0,National,"Global: A1 - Threatened species (invertebrates); B1 - Individual geographically restricted species (invertebrates). National: A1 - Threatened species (fishes, invertebrates, sensitive species); B1 - Individual geographically restricted species (invertebrates)","Site/area protection, Species management, Awareness & communications","Water(7.68%), Cropland(31.96%), Wetland(1.14%), Temperate or sub-polar broadleaf deciduous forest(15.14%), Barren lands(0.05%), Temperate or sub-polar needleleaf forest(3.17%), Mixed forest(39.57%), Urban(1.29%), ",Ontario,"Snuffbox(Epioblasma triquetra), Purple Wartyback(Cyclonaias tuberculata), Kidneyshell(Ptychobranchus fasciolaris), Black Redhorse(Moxostoma duquesnei), Northern Riffleshell(Epioblasma rangiana), Wavy-rayed Lampmussel(Lampsilis fasciola), "
ON189,"East Sydenham River","East Sydenham River",42.67,-82.01,175,223,13.08,"2023-11-22 00:00:00",1,0,National,"Global: Threatened invertebrates (A1). National: Threatened fishes & invertebrates (A1); Geographically restricted fishes & invertebrates (individual species) (B1)","Resource & habitat protection, Species management, Awareness & communications, Site/area protection","Cropland(39.74%), Temperate or sub-polar needleleaf forest(1.74%), Water(26.43%), Mixed forest(18.04%), Urban(6.08%), Temperate or sub-polar broadleaf deciduous forest(6.96%), Wetland(0.97%), ",Ontario,"Salamander Mussel(Simpsonaias ambigua), Snuffbox(Epioblasma triquetra), Fawnsfoot(Truncilla donaciformis), Lilliput(Toxolasma parvum), Rayed Bean(Paetulunio fabalis), Eastern Sand Darter(Ammocrypta pellucida pop. 4), Kidneyshell(Ptychobranchus fasciolaris), Mapleleaf Mussel(Quadrula quadrula pop. 2), Threehorn Wartyback(Obliquaria reflexa), Round Pigtoe(Pleurobema sintoxia), Purple Wartyback(Cyclonaias tuberculata), Northern Riffleshell(Epioblasma rangiana), "
ON190,"Charleston Lake","Charleston Lake",44.53,-76.01,82,189,170.6,"2024-04-17 00:00:00",18,0,National,"Global: . National: A1 - Threatened species (amphibians and reptiles, vascular plants)","Species management, Site/area management, Site/area protection, Invasive/problematic species control","Cropland(8.82%), Temperate or sub-polar shrubland(0.95%), Wetland(0.88%), Temperate or sub-polar broadleaf deciduous forest(14.65%), Temperate or sub-polar needleleaf forest(6.51%), Barren lands(0.23%), Mixed forest(41.35%), Temperate or sub-polar grassland(0.63%), Water(22.97%), Urban(3%), ",Ontario,"Pitch Pine(Pinus rigida), Gray Ratsnake(Pantherophis spiloides pop. 1), Blanding's Turtle(Emydoidea blandingii pop. 2), "
ON191,"Thousand Islands","Thousand Islands",44.36,-76.00,71,147,204.58,"2024-04-17 00:00:00",10,0,National,"Global: . National: A1 - Threatened species (amphibians and reptiles, fishes, vascular plants); B1 - Individual geographically restricted species (fishes, vascular plants)","Site/area management, Site/area protection, Invasive/problematic species control","Wetland(0.48%), Temperate or sub-polar grassland(0.35%), Barren lands(0.64%), Temperate or sub-polar needleleaf forest(3.86%), Water(52.96%), Temperate or sub-polar shrubland(0.46%), Unclassified(0.01%), Temperate or sub-polar broadleaf deciduous forest(5.05%), Urban(5.88%), Mixed forest(26.19%), Cropland(4.12%), ",Ontario,"American Water-willow(Justicia americana), Pitch Pine(Pinus rigida), Gray Ratsnake(Pantherophis spiloides pop. 1), Pugnose Shiner(Notropis anogenus), Deerberry(Vaccinium stamineum), Blanding's Turtle(Emydoidea blandingii pop. 2), "
ON192,Sandbanks,Sandbanks,43.92,-77.29,72,97,46.51,"2024-04-22 00:00:00",34,0,National,"Global: . National: A1 - Threatened species (amphibians and reptiles, fishes, fungi and lichens); B1 - Individual geographically restricted species (fishes)","Habitat & natural process restoration, Site/area management, Invasive/problematic species control, Awareness & communications, Species management, Resource & habitat protection, Formal education, Legislation, Policies and regulations, Site/area protection","Wetland(0.84%), Temperate or sub-polar shrubland(0.93%), Cropland(3.73%), Temperate or sub-polar broadleaf deciduous forest(1.97%), Mixed forest(3.53%), Temperate or sub-polar needleleaf forest(2.54%), Barren lands(3.43%), Urban(3.31%), Temperate or sub-polar grassland(0.69%), Water(79.04%), ",Ontario,"Blanding's Turtle(Emydoidea blandingii pop. 2), Eastern Sand Darter(Ammocrypta pellucida pop. 3), Pugnose Shiner(Notropis anogenus), Golden-eye Lichen - Great Lakes population(Teloschistes chrysophthalmus pop. 2), "
ON193,"Massassauga Point","Massassauga Point",44.15,-77.31,76,83,0.24,"2024-04-17 00:00:00",0,0,National,"Global: A1 - Threatened species (fungi and lichens). National: ","Invasive/problematic species control, Site/area management, Habitat & natural process restoration, Site/area protection, Resource & habitat protection","Urban(2.63%), Water(9%), Mixed forest(21.68%), Temperate or sub-polar needleleaf forest(65.11%), ",Ontario,"Pale-bellied Frost Lichen(Physconia subpallida), "
ON194,"Dundas Valley to Cootes Paradise","Dundas Valley to Cootes Paradise",43.30,-79.89,70,271,82.53,"2024-05-22 00:00:00",24,0,National,"Global: . National: A1 - Threatened species (amphibians and reptiles, invertebrates, vascular plants, sensitive species); B1 - Individual geographically restricted species (amphibians and reptiles, invertebrates, vascular plants, sensitive species)","Invasive/problematic species control, Site/area protection, Species recovery, Species management, Site/area management","Temperate or sub-polar broadleaf deciduous forest(10.94%), Wetland(0.45%), Temperate or sub-polar needleleaf forest(1.89%), Barren lands(1.66%), Water(3.69%), Cropland(12.58%), Mixed forest(43.14%), Temperate or sub-polar grassland(0.11%), Urban(23.81%), Temperate or sub-polar shrubland(1.72%), ",Ontario,"American Chestnut(Castanea dentata), Hoary Mountain-mint(Pycnanthemum incanum), Jefferson Salamander(Ambystoma jeffersonianum), American Columbo(Frasera caroliniensis), Bashful Clubrush(Trichophorum planifolium), Downy Yellow False Foxglove(Aureolaria virginica), Fern-leaved Yellow False Foxglove(Aureolaria pedicularia), Red Mulberry(Morus rubra), Unisexual Ambystoma - Jefferson Salamander dependent population(Ambystoma x 1), Lilliput(Toxolasma parvum), "
ON195,"Niagara Escarpment - Silver Creek to Belfountain","Niagara Escarpment - Silver Creek to Belfountain",43.80,-79.99,263,456,22.48,"2024-05-22 00:00:00",40,0,National,"Global: . National: A1 - Threatened species (amphibians and reptiles); B1 - Individual geographically restricted species (amphibians and reptiles)","Habitat & natural process restoration, Invasive/problematic species control, Site/area protection","Temperate or sub-polar broadleaf deciduous forest(28.11%), Barren lands(0.14%), Water(1.07%), Wetland(0.11%), Urban(3%), Cropland(4.56%), Temperate or sub-polar needleleaf forest(8.09%), Temperate or sub-polar shrubland(0.66%), Mixed forest(54.26%), ",Ontario,"Unisexual Ambystoma - Jefferson Salamander dependent population(Ambystoma x 1), Jefferson Salamander(Ambystoma jeffersonianum), "
ON196,Selkirk,Selkirk,42.81,-79.96,173,184,0.64,"2024-05-22 00:00:00",100,0,National,"Global: . National: A1 - Threatened species (vascular plants)","Site/area management, Site/area protection","Wetland(2.26%), Mixed forest(35.55%), Temperate or sub-polar needleleaf forest(5.07%), Water(11.59%), Temperate or sub-polar broadleaf deciduous forest(2.58%), Urban(38.1%), Cropland(4.83%), ",Ontario,"Juniper Sedge(Carex juniperorum), American Columbo(Frasera caroliniensis), "
ON197,Killarney,Killarney,46.16,-81.15,173,534,3631.15,"2024-06-26 00:00:00",29,0,National,"Global: . National: A1 - Threatened species (mammals)","Compliance and enforcement, Policies and regulations, Site/area management, Legislation, Site/area protection","Urban(1.17%), Water(14.35%), Mixed forest(40.36%), Barren lands(1.23%), Wetland(0.15%), Temperate or sub-polar shrubland(0.07%), Cropland(0.15%), Temperate or sub-polar needleleaf forest(18.71%), Temperate or sub-polar grassland(14.42%), Temperate or sub-polar broadleaf deciduous forest(9.39%), ",Ontario,"Eastern Wolf(Canis sp. cf. lycaon), "
QC003,"Lagune du Havre aux Basques et plage de l'Ouest","Lagune du Havre aux Basques et plage de l'Ouest",47.29,-61.95,1,20,34.74,"2022-08-18 00:00:00",74,0,Global,"Global: D1 - Demographic aggregations (birds). National: A1 - Threatened species (birds); D1 - Demographic aggregations (birds)","Legislation, Awareness & communications, Site/area protection","Temperate or sub-polar broadleaf deciduous forest(0.91%), Mixed forest(2.5%), Urban(0.54%), Temperate or sub-polar grassland(1.17%), Water(81.14%), Temperate or sub-polar needleleaf forest(5.54%), Wetland(2.82%), Barren lands(4.07%), Temperate or sub-polar shrubland(1.32%), ",Quebec,"Hudsonian Godwit(Limosa haemastica), Piping Plover(Charadrius melodus melodus), Black-headed Gull(Chroicocephalus ridibundus), Short-billed Dowitcher(Limnodromus griseus), "
QC037,"Baie de Gaspé","Baie de Gaspé",48.76,-64.27,0,101,268.58,"2022-08-18 00:00:00",3,0,Global,"Global: A1 - Threatened species (birds). National: D1 - Demographic aggregations (birds)","Site/area protection, Legislation","Mixed forest(3.14%), Temperate or sub-polar broadleaf deciduous forest(0.31%), Temperate or sub-polar needleleaf forest(2.4%), Cropland(0.33%), Barren lands(0.06%), Temperate or sub-polar grassland(0.33%), Wetland(0.51%), Urban(2.01%), Temperate or sub-polar shrubland(1.29%), Water(89.62%), ",Quebec,"Long-tailed Duck(Clangula hyemalis), Northern Gannet(Morus bassanus), Brant(Branta bernicla), "
QC084,"Baie des Escoumins et Grandes-Bergeronnes","Baie des Escoumins et Grandes-Bergeronnes",48.33,-69.43,0,269,339.56,"2022-08-18 00:00:00",46,0,National,"Global: . National: D1 - Demographic aggregations (birds)","Legislation, Site/area protection","Temperate or sub-polar broadleaf deciduous forest(2.29%), Temperate or sub-polar grassland(3.13%), Water(46.33%), Barren lands(0.06%), Wetland(0.09%), Urban(2.37%), Temperate or sub-polar needleleaf forest(20.42%), Cropland(3.21%), Temperate or sub-polar shrubland(4.17%), Mixed forest(17.93%), ",Quebec,"Common Eider(Somateria mollissima), Iceland Gull(Larus glaucoides), Razorbill(Alca torda), Little Gull(Hydrocoloeus minutus), Purple Sandpiper(Calidris maritima), Dovekie(Alle alle), "
QC174,"Chemin Saint-Armand","Chemin Saint-Armand",45.04,-73.02,67,75,0.01,"2024-04-17 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (sensitive species)",,,Quebec,
QC175,"La Muraille","La Muraille",48.53,-64.24,109,320,0.24,"2024-06-21 00:00:00",0,0,National,"Global: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants). National: ","Policies and regulations, Legislation","Temperate or sub-polar needleleaf forest(36.46%), Mixed forest(45.4%), Water(4.53%), Urban(10.28%), ",Quebec,"Quebec Rockcress(Boechera quebecensis), "
QC176,"Lac de la Falaise","Lac de la Falaise",49.04,-65.29,232,493,0.3,"2024-05-26 00:00:00",0,0,National,"Global: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants). National: ","Legislation, Policies and regulations, Site/area management","Temperate or sub-polar needleleaf forest(70.77%), Mixed forest(27.25%), ",Quebec,"Quebec Rockcress(Boechera quebecensis), "
SK001,"Last Mountain Lake National Wildlife Area","Last Mountain Lake National Wildlife Area",51.37,-105.23,485,521,319.3,"2022-08-18 00:00:00",55,0,Global,"Global: D1 - Demographic aggregations (birds). National: A1 - Threatened species (birds); D1 - Demographic aggregations (birds)","Site/area protection, Legislation, Site/area management","Wetland(9.87%), Temperate or sub-polar needleleaf forest(0%), Urban(2.18%), Temperate or sub-polar grassland(26.21%), Water(20.08%), Temperate or sub-polar shrubland(2.06%), Temperate or sub-polar broadleaf deciduous forest(0.04%), Cropland(39.55%), ",Saskatchewan,"Piping Plover(Charadrius melodus circumcinctus), Ruddy Turnstone(Arenaria interpres), Sandhill Crane(Antigone canadensis), Red Knot(Calidris canutus), Snow Goose(Anser caerulescens), "
